pair_id	topic_name	ontology	ontology_term_label	similarity	match_type	stratum	label
143	Spatial Neglect and Hemispheric Dysfunction	doid	simultanagnosia	0.7845	label	mid_range	
144	Ubiquitin and proteasome pathways	go	proteasome pathway	0.8954	synonym	high_quality	
145	Merger and Competition Analysis	cso	competitive analysis	0.8632	label	high_quality	
146	Economic and Social Development	unesco	Economic and social development	1.0	label	exact	
147	Historical and Archaeological Studies	edam	Studies	0.7695	synonym	mid_range	
148	Complex Systems and Dynamics	stw	Complex systems	0.9047	label	high_quality	
149	Aquatic Ecosystems and Biodiversity	unesco	Aquatic ecosystems	0.9277	label	high_quality	
150	DNA and Biological Computing	cso	dna computing	0.9593	label	exact	
151	Holomorphic and Operator Theory	msc2020	Operator theory and harmonic analysis	0.8853	label	high_quality	
152	Direction-of-Arrival Estimation Techniques	cso	direction-of-arrival estimation	0.9673	synonym	exact	
153	Software Engineering and Design Patterns	cso	software design patterns	0.9547	label	exact	
154	Evolution and Genetic Dynamics	stw	Demographic dynamics	0.7946	synonym	mid_range	
155	Disaster Management and Resilience	physh	Network resilience	0.7435	label	borderline	
156	Chaos control and synchronization	physh	Control & applications of chaos	0.8861	label	high_quality	
157	Lysosomal Storage Disorders Research	doid	lysosomal storage disease	0.8545	label	high_quality	
158	Molecular Communication and Nanonetworks	go	cell communication by chemical coupling	0.823	label	mid_range	
159	Eosinophilic Esophagitis	doid	eosinophilic esophagitis	1.0	label	exact	
160	Social Issues and Sustainability	physh	Sustainability	0.8035	label	mid_range	
161	Comparative and World Literature	unesco	European literature	0.7937	label	mid_range	
162	Ethics in Business and Education	stw	Business ethics	0.8526	label	high_quality	
163	Philosophy and Social Theory	unesco	Political theory	0.7927	label	mid_range	
164	Mollusks and Parasites Studies	unesco	Parasites	0.7373	synonym	borderline	
165	Physiological and biochemical adaptations	unesco	Biological adaptation	0.8778	label	high_quality	
166	Gender and Feminist Studies	stw	Gender studies	0.9099	label	high_quality	
167	Youth, Drugs, and Violence	unesco	Youth unrest	0.7531	label	mid_range	
168	Electronic Health Records Systems	cso	electronic health record systems	0.9921	label	exact	
169	Environmental law and policy	unesco	Environmental law	0.9152	synonym	high_quality	
170	Power Line Inspection Robots	cso	power-line communications	0.7546	label	mid_range	
171	Molecular Biology Techniques and Applications	go	DNA amplification	0.76	label	mid_range	
172	Structural Engineering and Vibration Analysis	stw	Structural engineering	0.8556	label	high_quality	
173	Psycholinguistics and Behavioral Studies	cso	psycholinguistics	0.9078	label	high_quality	
174	Nursing Education, Practice, and Leadership	cso	teaching practices	0.7062	synonym	borderline	
175	Youth Substance Use and School Attendance	unesco	School attendance	0.7748	synonym	mid_range	
176	Bacillus and Francisella bacterial research	edam	Microbial surveillance	0.678	synonym	borderline	
177	Geotechnical Engineering and Analysis	stw	Hydraulic engineering	0.7491	label	borderline	
178	Cardiomyopathy and Myosin Studies	physh	Myosin	0.7702	label	mid_range	
179	Botany and Plant Ecology Studies	stw	Horticulture	0.7505	label	mid_range	
180	DNA and Biological Computing	msc2020	Biologically inspired models of computation (DNA computing, membrane computing, etc.)	0.9015	label	high_quality	
181	Media Discourse and Social  Analysis	unesco	Sociology of communication	0.7672	label	mid_range	
182	Cerebral Venous Sinus Thrombosis	hpo	Cerebral venous sinus thrombosis	1.0	label	exact	
183	Spacecraft and Cryogenic Technologies	physh	Cryogenic technology	0.8648	label	high_quality	
184	Marine Sponges and Natural Products	cso	actinomycetes and related organisms	0.7002	label	borderline	
185	Viral-associated cancers and disorders	edam	Head and neck disorders	0.7202	synonym	borderline	
186	Attention Deficit Hyperactivity Disorder	doid	attention deficit hyperactivity disorder	1.0	label	exact	
187	COVID-19 Clinical Research Studies	go	interleukin-19 production	0.6653	label	borderline	
188	Risk Perception and Management	msc2020	Statistical methods; risk measures	0.7322	label	borderline	
189	Plant-based Medicinal Research	stw	Plant biotechnology	0.7762	synonym	mid_range	
190	Relativity and Gravitational Theory	msc2020	Relativity and gravitational theory	1.0	label	exact	
191	Lignin and Wood Chemistry	unesco	Plant chemistry	0.8009	synonym	mid_range	
192	Satellite Communication Systems	cso	satellite communication systems	1.0	label	exact	
193	Family and Patient Care in Intensive Care Units	hpo	Ventilator dependence with inability to wean	0.6577	label	borderline	
194	Biochemical Analysis and Sensing Techniques	cso	polarographic analysis	0.7649	label	mid_range	
195	Magnesium in Health and Disease	hpo	Abnormal magnesium metabolism	0.8084	synonym	mid_range	
196	Linguistics and Language Studies	unesco	Linguistics	0.8788	label	high_quality	
197	Methodology and Impact of Social Science Research	unesco	Social science research	0.8335	synonym	mid_range	
198	Fungal and yeast genetics research	cso	genetic analysis	0.7278	synonym	borderline	
199	Gaussian Processes and Bayesian Inference	cso	gaussian processes	0.9241	label	high_quality	
200	Electric Power Systems and Control	physh	Electric power transmission	0.8006	label	mid_range	
201	Educational Theory and Curriculum Studies	unesco	Educational theory	0.8678	label	high_quality	
202	Digital Rights Management and Security	cso	digital rights management	0.9601	synonym	exact	
203	Underwater Vehicles and Communication Systems	cso	underwater acoustic communications	0.9006	label	high_quality	
204	Parasitic infections in humans and animals	doid	parasitic infectious disease	0.8264	label	mid_range	
205	Sports and Physical Education Research	unesco	Educational research	0.7801	label	mid_range	
206	Smart Materials for Construction	cso	smart materials	0.8958	label	high_quality	
207	Quantum Information and Cryptography	physh	Quantum cryptography	0.9514	label	exact	
208	Values and Moral Education	unesco	Values education	0.9176	synonym	high_quality	
209	Animal Nutrition and Physiology	msc2020	Animal behavior	0.7682	label	mid_range	
210	Market Dynamics and Volatility	stw	Economic dynamics	0.8251	label	mid_range	
211	Municipal Solid Waste Management	stw	Municipal waste management	0.9697	label	exact	
212	Physical Education and Pedagogy	unesco	Physical education	0.8627	label	high_quality	
213	Soil and Water Nutrient Dynamics	stw	Ecological dynamics	0.742	synonym	borderline	
214	Literature, Musicology, and Cultural Analysis	unesco	Literary analysis	0.8154	label	mid_range	
215	Hydrogen Storage and Materials	physh	Hydrogen storage materials	0.9706	label	exact	
216	Conservation Techniques and Studies	physh	Experimental Techniques	0.7589	label	mid_range	
217	Speech Recognition and Synthesis	cso	speech synthesis	0.9124	label	high_quality	
218	Pathogenesis and Treatment of Hiccups	go	up-regulation of pharyngeal pumping	0.7067	synonym	borderline	
219	Public Spaces through Art	unesco	Urban spaces	0.7887	label	mid_range	
220	Immunodeficiency and Autoimmune Disorders	doid	immunodeficiency 85 and autoimmunity	0.8593	synonym	high_quality	
221	Emotional Intelligence and Performance	stw	Emotional intelligence	0.8918	label	high_quality	
222	Engineering Applied Research	unesco	Applied research	0.904	label	high_quality	
223	Magnesium Oxide Properties and Applications	unesco	Thermal properties	0.663	label	borderline	
224	Innovative Education Methods and Tools	unesco	Teaching method innovations	0.8834	label	high_quality	
225	Financial Risk and Volatility Modeling	stw	Stochastic volatility model	0.8513	synonym	high_quality	
226	Sustainable Industrial Ecology	stw	Industrial ecology	0.9587	synonym	exact	
227	Porphyrin Metabolism and Disorders	hpo	Abnormal circulating porphyrin concentration	0.7356	label	borderline	
228	Action Observation and Synchronization	hpo	Irregular visual pursuit movements	0.7552	synonym	mid_range	
229	Optical Systems and Laser Technology	cso	laser systems	0.8584	label	high_quality	
230	Synthesis and characterization of novel inorganic/organometallic compounds	go	organomercury synthesis	0.7789	synonym	mid_range	
231	Homotopy and Cohomology in Algebraic Topology	msc2020	Homology and cohomology theories in algebraic topology	0.9601	label	exact	
232	Advanced Image Processing Techniques	msc2020	Computing methodologies for image processing	0.8406	label	mid_range	
233	Sports injuries and prevention	hpo	Exercise-induced muscle pain	0.7025	synonym	borderline	
234	Temporomandibular Joint Disorders	mesh	Temporomandibular Joint Disorders	1.0	exact	exact	
235	Communication in Education and Healthcare	cso	speech communication	0.7928	label	mid_range	
236	Energy, Environment, Agriculture Analysis	stw	Agriculture sector	0.748	synonym	borderline	
237	Innovations in Concrete and Construction Materials	cso	innovative technologies	0.7754	label	mid_range	
238	Social Skills and Education	stw	Social skills	0.8867	synonym	high_quality	
239	Geography and Environmental Studies	edam	Environmental sciences	0.8089	label	mid_range	
240	Education and Professional Development	cso	teaching and learning	0.8282	label	mid_range	
241	Gyrotron and Vacuum Electronics Research	unesco	Cyclotrons	0.758	synonym	mid_range	
242	Bone Tissue Engineering Materials	edam	Biomaterials	0.7659	label	mid_range	
243	Rheology and Fluid Dynamics Studies	msc2020	Foundations, constitutive equations, rheology, hydrodynamical models of non-fluid phenomena	0.8247	label	mid_range	
244	Educational Tools and Methods	unesco	Educational methods	0.908	synonym	high_quality	
245	Antioxidants, Aging, Portulaca oleracea	go	oxidative stress-induced premature senescence	0.7231	label	borderline	
246	Digital Media Forensic Detection	edam	Format detection	0.7694	label	mid_range	
247	Algorithms and Data Compression	cso	data compression algorithms	0.9656	label	exact	
248	Agricultural and Food Sciences	stw	Agricultural sciences	0.8864	label	high_quality	
249	Near-Field Optical Microscopy	cso	near field scanning optical microscopy	0.9552	label	exact	
250	Microscopic Colitis	ncit	Microscopic Colitis	1.0	exact	exact	
251	Cross-Border Cooperation and Integration	stw	Cross-border cooperation	0.9609	synonym	exact	
252	Macrophage Migration Inhibitory Factor	ncit	Macrophage Migration Inhibitory Factor	1.0	exact	exact	
253	Botanical Research and Applications	unesco	Botanical research	0.9032	synonym	high_quality	
254	Cardiovascular and Diving-Related Complications	edam	Cardiovascular disease	0.7001	synonym	borderline	
255	Decolonial Thought and Epistemologies	stw	Decolonization	0.7707	synonym	mid_range	
256	Structural mechanics and materials	cso	structural systems	0.8136	label	mid_range	
257	Fluid Dynamics and Heat Transfer	msc2020	Thermodynamics and heat transfer	0.9037	label	high_quality	
258	Linguistic and Sociocultural Studies	msc2020	Linguistics	0.7938	label	mid_range	
259	Public Administration and Governance	unesco	Public administration	0.883	label	high_quality	
260	Academic Research and Education Studies	stw	Academic research	0.8627	synonym	high_quality	
261	Medical Education and Admissions	stw	Admission to higher education	0.7617	label	mid_range	
262	Wildlife Conservation and Criminology Analyses	stw	Wildlife conservation	0.7861	label	mid_range	
263	Higher Education and Employability	stw	Employability	0.8662	label	high_quality	
264	Silymarin and Mushroom Poisoning	unesco	Mushrooms	0.7089	synonym	borderline	
265	World Systems and Global Transformations	physh	Social system dynamics	0.7784	label	mid_range	
266	Animal health and immunology	edam	Immunology and genetics	0.8685	synonym	high_quality	
267	Iterative Learning Control Systems	cso	iterative learning control	0.9708	synonym	exact	
268	Linguistics and Discourse Analysis	edam	Text analysis	0.7744	synonym	mid_range	
269	Polymer Science and PVC	physh	Polymers	0.8078	label	mid_range	
270	Digital Accessibility for Disabilities	cso	web accessibility	0.8388	label	mid_range	
271	School Leadership and Teacher Performance	stw	School performance	0.7458	synonym	borderline	
272	Mobile Ad Hoc Networks	cso	mobile ad hoc networks	1.0	synonym	exact	
273	International Law and Aviation	stw	International aviation law	0.9714	synonym	exact	
274	Fractional Differential Equations Solutions	cso	fractional differential equations	0.9013	label	high_quality	
275	Nuclear physics research studies	physh	Nuclear Physics Research Areas	0.9093	label	high_quality	
276	Optical Coherence Tomography Applications	cso	optical coherence tomography (oct)	0.862	label	high_quality	
277	Environmental law and policy	stw	Environmental law	0.9152	label	high_quality	
278	Politics and Conflicts in Afghanistan, Pakistan, and Middle East	stw	Afghanistan	0.7534	label	mid_range	
279	Methane Hydrates and Related Phenomena	go	methane degradation	0.7428	synonym	borderline	
280	Advanced Image Fusion Techniques	cso	image fusion techniques	0.9627	label	exact	
281	Sports and Physical Education Studies	unesco	Physical education	0.8384	label	mid_range	
282	Global Health and Epidemiology	msc2020	Medical epidemiology	0.8071	label	mid_range	
283	Heterotopic Ossification and Related Conditions	hpo	Heterotopic ossification	0.9384	synonym	high_quality	
284	Granular flow and fluidized beds	physh	Granular flows	0.8866	label	high_quality	
285	Religion, Gender, and Enlightenment	stw	Enlightenment	0.7737	label	mid_range	
286	Advanced Graph Neural Networks	msc2020	Probabilistic graphical models	0.7586	label	mid_range	
287	Catalytic Processes in Materials Science	physh	Chemical kinetics, dynamics & catalysis	0.7685	label	mid_range	
288	Poxvirus research and outbreaks	doid	Arenaviridae infectious disease	0.6932	label	borderline	
289	Metallurgical and Alloy Processes	unesco	Metallurgical engineering	0.8726	synonym	high_quality	
290	Critical Theory and Political Philosophy	msc2020	Philosophical and critical aspects of logic and foundations	0.7471	label	borderline	
291	Sociology and Cultural Identity Studies	unesco	Cultural sociology	0.8575	label	high_quality	
292	Organoselenium and organotellurium chemistry	cso	chalcogenides	0.7261	label	borderline	
293	Security in Wireless Sensor Networks	cso	wireless sensor networks	0.8621	synonym	high_quality	
294	Electoral Systems and Political Participation	stw	Political participation	0.8439	label	mid_range	
295	Distributed systems and fault tolerance	cso	fault-tolerant systems	0.9174	label	high_quality	
296	Solid-state spectroscopy and crystallography	physh	Solid-state chemistry	0.8938	label	high_quality	
297	Quantum many-body systems	msc2020	Many-body theory; quantum Hall effect	0.8569	label	high_quality	
298	Opioid Use Disorder Treatment	doid	opioid abuse	0.7378	label	borderline	
299	Patient Safety and Medication Errors	edam	Patient safety	0.8734	synonym	high_quality	
300	Science and Climate Studies	stw	Climate science	0.8885	label	high_quality	
